review,sentiment
"Worst phone I've ever purchased, total waste. Do not buy this.",negative
"Horrible experience with this laptop, never buying again. Do not buy this.",negative
"This book does what it says, nothing extraordinary. It's okay for the price.",neutral
"Average shoes, does the job but nothing more. It's okay for the price.",neutral
"Best shoes I've ever bought, highly recommend it.",positive
"Meh, average.",neutral
Not satisfied at all.,negative
"I absolutely love this coffee maker, it works perfectly! Shipping was fast too.",positive
"Not bad, not great, just a regular tablet.",neutral
"The tablet is defective, requesting a refund immediately. Do not buy this.",negative
Bad blender.,negative
"Fantastic microwave, customer service was also great. Shipping was fast too.",positive
Love it.,positive
"Fantastic monitor, customer service was also great.",positive
"Really good headphones, does exactly what it promises. Shipping was fast too.",positive
"Not bad, not great, just a regular laptop. It's okay for the price.",neutral
"It's a standard book, works fine for basic needs. Nothing to write home about.",neutral
"Bad headphones, completely different from what was advertised. Complete waste of money.",negative
"Bad microwave, completely different from what was advertised. Complete waste of money.",negative
"This printer is amazing, worth every penny.",positive
"This vacuum cleaner is a scam, doesn't work as advertised.",negative
"I absolutely love this shoes, it works perfectly! Definitely a great buy.",positive
"Terrible build quality, this vacuum cleaner",negative
"I'm so glad I bought this speaker, it's wonderful.",positive
"This phone exceeded all my expectations, love it. My whole family loves it.",positive
"Fantastic book, customer service was also great. Definitely a great buy.",positive
"It's an average coffee maker, meets",neutral
"Pretty good, satisfied.",positive
"This tablet is a scam, doesn't work as advertised. Do not buy this.",negative
"Very happy with this blender, five stars!",positive
The book is functional but the design could improve. Might consider other brands next time.,neutral
So-so experience.,neutral
"This microwave is fine, could be better though. Might consider other brands next time.",neutral
Works well.,positive
"Great television, exceeded",positive
"The mouse is okay, nothing special about it. Nothing to write home about.",neutral
"This jacket does what it says, nothing extraordinary.",neutral
"The tablet is okay for casual use,",neutral
"Top notch jacket, fast delivery and great packaging.",positive
Hate it.,negative
"Awful headphones, broke within days of use.",negative
"This microwave is terrible, broke after one day. Asked for a refund.",negative
"Worst keyboard I've ever purchased, total waste. Do not buy this.",negative
"Not bad, not great, just",neutral
"The router stopped working within a week, awful. Asked",negative
"Best book I've ever bought, highly recommend it.",positive
"This keyboard is a scam, doesn't work",negative
"Top notch phone, fast delivery and great packaging. Shipping was fast too.",positive
"I absolutely love this router, it works perfectly! Shipping was fast too.",positive
"The shoes stopped working within a week, awful.",negative
"The headphones works as expected, no complaints really. It's okay for the price.",neutral
Doesn't work.,negative
"Best camera I've ever bought, highly recommend it.",positive
"This watch is amazing, worth every penny. Shipping was fast too.",positive
This watch is cheaply made and fell apart quickly.,negative
"Really good router, does exactly what it promises.",positive
"It's a standard mouse, works fine for basic needs. Might consider other brands next time.",neutral
"This blender does what it says, nothing extraordinary.",neutral
"This blender is amazing, worth every penny. My whole family loves it.",positive
"The television is defective, requesting a refund immediately.",negative
"Nice book, thanks.",positive
"Horrible experience with this charger, never buying again.",negative
Okay keyboard.,neutral
"This laptop is a scam, doesn't work as advertised.",negative
"Superb build quality, this headphones is fantastic. Definitely a great buy.",positive
The headphones is functional but the design could improve. It's okay for the price.,neutral
"Nice router, thanks.",positive
"Terrible build quality, this coffee maker is a huge letdown. Complete waste of money.",negative
"Great coffee maker, exceeded my expectations.",positive
Bad vacuum cleaner.,negative
Good microwave.,positive
"Average camera, does the job but nothing more. Nothing to write home about.",neutral
"Reasonably priced jacket, performs adequately.",neutral
"The vacuum cleaner is defective, requesting a refund immediately.",negative
"Awful book, broke within days of use. Never ordering from here again.",negative
The coffee maker arrived damaged and customer service was rude.,negative
"This watch is amazing, worth every penny. Definitely a great buy.",positive
"Superb build quality, this watch is fantastic.",positive
It's fine.,neutral
"Fantastic tablet, customer service was also great. My whole family loves it.",positive
"The printer stopped working within a week, awful. Do not buy this.",negative
"Top notch charger, fast delivery and great packaging. Shipping was fast too.",positive
"The coffee maker stopped working within a week, awful.",negative
"Poor quality book, would",negative
"Bad phone, completely different from what was advertised. Complete waste of money.",negative
"Extremely disappointed, the monitor does not work at all. Asked for a refund.",negative
"I absolutely love this coffee maker, it works perfectly!",positive
"Reasonably priced router, performs adequately. It's",neutral
"Best headphones I've ever bought, highly recommend it. My whole family loves it.",positive
"This blender exceeded all my expectations, love it. Shipping was fast too.",positive
"I'm so glad I bought this laptop, it's wonderful. Definitely",positive
"This keyboard is terrible, broke after one day. Do not buy this.",negative
"I'm so glad I bought this keyboard, it's wonderful.",positive
"It's an average keyboard, meets basic requirements. Nothing to write home about.",neutral
"Very disappointed with this backpack, waste of money.",negative
"The charger stopped working within a week, awful. Do not buy this.",negative
"The phone is okay for casual use, nothing outstanding. It's okay for the price.",neutral
"This printer is fine, could be better though. It's okay for the price.",neutral
The phone is functional but the design could improve. Might consider other brands next time.,neutral
"Superb build quality, this speaker is fantastic. Shipping was fast too.",positive
